"","date","season","team","elo","playoff","teamyear","GAME"
"97",2008-09-07,2008,"ARI",1477.251,0,"2008.ARI",1
"98",2008-09-14,2008,"ARI",1500.517,0,"2008.ARI",2
"99",2008-09-21,2008,"ARI",1512.963,0,"2008.ARI",3
"100",2008-09-28,2008,"ARI",1497.585,0,"2008.ARI",4
"101",2008-10-05,2008,"ARI",1467.244,0,"2008.ARI",5
"102",2008-10-12,2008,"ARI",1501.632,0,"2008.ARI",6
"103",2008-10-26,2008,"ARI",1525.4,0,"2008.ARI",7
"104",2008-11-02,2008,"ARI",1512.355,0,"2008.ARI",8
"105",2008-11-10,2008,"ARI",1538.26,0,"2008.ARI",9
"106",2008-11-16,2008,"ARI",1543.985,0,"2008.ARI",10
"107",2008-11-23,2008,"ARI",1560.816,0,"2008.ARI",11
"108",2008-11-27,2008,"ARI",1543.137,0,"2008.ARI",12
"109",2008-12-07,2008,"ARI",1516.305,0,"2008.ARI",13
"110",2008-12-14,2008,"ARI",1525.621,0,"2008.ARI",14
"111",2008-12-21,2008,"ARI",1493.047,0,"2008.ARI",15
"112",2008-12-28,2008,"ARI",1476.623,0,"2008.ARI",16
"113",2009-09-13,2009,"ARI",1550.108,0,"2009.ARI",1
"114",2009-09-20,2009,"ARI",1525.201,0,"2009.ARI",2
"115",2009-09-27,2009,"ARI",1552.107,0,"2009.ARI",3
"116",2009-10-11,2009,"ARI",1522.765,0,"2009.ARI",4
"117",2009-10-18,2009,"ARI",1536.641,0,"2009.ARI",5
"118",2009-10-25,2009,"ARI",1567.032,0,"2009.ARI",6
"119",2009-11-01,2009,"ARI",1596.408,0,"2009.ARI",7
"120",2009-11-08,2009,"ARI",1552.248,0,"2009.ARI",8
"121",2009-11-15,2009,"ARI",1585.72,0,"2009.ARI",9
"122",2009-11-22,2009,"ARI",1595.304,0,"2009.ARI",10
"123",2009-11-29,2009,"ARI",1603.274,0,"2009.ARI",11
"124",2009-12-06,2009,"ARI",1589.926,0,"2009.ARI",12
"125",2009-12-14,2009,"ARI",1615.832,0,"2009.ARI",13
"126",2009-12-20,2009,"ARI",1578.106,0,"2009.ARI",14
"127",2009-12-27,2009,"ARI",1584.518,0,"2009.ARI",15
"128",2010-01-03,2009,"ARI",1589.08,0,"2009.ARI",16
"129",2010-09-12,2010,"ARI",1533.868,0,"2010.ARI",1
"130",2010-09-19,2010,"ARI",1542.711,0,"2010.ARI",2
"131",2010-09-26,2010,"ARI",1512.549,0,"2010.ARI",3
"132",2010-10-03,2010,"ARI",1515.591,0,"2010.ARI",4
"133",2010-10-10,2010,"ARI",1493.485,0,"2010.ARI",5
"134",2010-10-24,2010,"ARI",1523.951,0,"2010.ARI",6
"135",2010-10-31,2010,"ARI",1496.173,0,"2010.ARI",7
"136",2010-11-07,2010,"ARI",1477.167,0,"2010.ARI",8
"137",2010-11-14,2010,"ARI",1468.246,0,"2010.ARI",9
"138",2010-11-21,2010,"ARI",1425.935,0,"2010.ARI",10
"139",2010-11-29,2010,"ARI",1403.478,0,"2010.ARI",11
"140",2010-12-05,2010,"ARI",1366.718,0,"2010.ARI",12
"141",2010-12-12,2010,"ARI",1334.879,0,"2010.ARI",13
"142",2010-12-19,2010,"ARI",1366.209,0,"2010.ARI",14
"143",2010-12-25,2010,"ARI",1347.152,0,"2010.ARI",15
"144",2011-01-02,2010,"ARI",1356.403,0,"2010.ARI",16
"145",2011-09-11,2011,"ARI",1392.072,0,"2011.ARI",1
"146",2011-09-18,2011,"ARI",1408.426,0,"2011.ARI",2
"147",2011-09-25,2011,"ARI",1404.094,0,"2011.ARI",3
"148",2011-10-02,2011,"ARI",1393.288,0,"2011.ARI",4
"149",2011-10-09,2011,"ARI",1382.099,0,"2011.ARI",5
"150",2011-10-23,2011,"ARI",1360.717,0,"2011.ARI",6
"151",2011-10-30,2011,"ARI",1348.482,0,"2011.ARI",7
"152",2011-11-06,2011,"ARI",1345.531,0,"2011.ARI",8
"153",2011-11-13,2011,"ARI",1362.353,0,"2011.ARI",9
"154",2011-11-20,2011,"ARI",1390.645,0,"2011.ARI",10
"155",2011-11-27,2011,"ARI",1382.119,0,"2011.ARI",11
"156",2011-12-04,2011,"ARI",1396.706,0,"2011.ARI",12
"157",2011-12-11,2011,"ARI",1421.651,0,"2011.ARI",13
"158",2011-12-18,2011,"ARI",1436.876,0,"2011.ARI",14
"159",2011-12-24,2011,"ARI",1445.774,0,"2011.ARI",15
"160",2012-01-01,2011,"ARI",1433.709,0,"2011.ARI",16
"161",2012-09-09,2012,"ARI",1466.913,0,"2012.ARI",1
"162",2012-09-16,2012,"ARI",1481.1,0,"2012.ARI",2
"163",2012-09-23,2012,"ARI",1501.576,0,"2012.ARI",3
"164",2012-09-30,2012,"ARI",1533.162,0,"2012.ARI",4
"165",2012-10-04,2012,"ARI",1542.186,0,"2012.ARI",5
"166",2012-10-14,2012,"ARI",1505.863,0,"2012.ARI",6
"167",2012-10-21,2012,"ARI",1485.797,0,"2012.ARI",7
"168",2012-10-29,2012,"ARI",1469.005,0,"2012.ARI",8
"169",2012-11-04,2012,"ARI",1445.744,0,"2012.ARI",9
"170",2012-11-18,2012,"ARI",1437.336,0,"2012.ARI",10
"171",2012-11-25,2012,"ARI",1432.628,0,"2012.ARI",11
"172",2012-12-02,2012,"ARI",1393.256,0,"2012.ARI",12
"173",2012-12-09,2012,"ARI",1388.835,0,"2012.ARI",13
"174",2012-12-16,2012,"ARI",1372.598,0,"2012.ARI",14
"175",2012-12-23,2012,"ARI",1408.102,0,"2012.ARI",15
"176",2012-12-30,2012,"ARI",1383.959,0,"2012.ARI",16
"177",2013-09-08,2013,"ARI",1420.28,0,"2013.ARI",1
"178",2013-09-15,2013,"ARI",1411.08,0,"2013.ARI",2
"179",2013-09-22,2013,"ARI",1426.312,0,"2013.ARI",3
"180",2013-09-29,2013,"ARI",1412.221,0,"2013.ARI",4
"181",2013-10-06,2013,"ARI",1430.62,0,"2013.ARI",5
"182",2013-10-13,2013,"ARI",1461.967,0,"2013.ARI",6
"183",2013-10-17,2013,"ARI",1451.444,0,"2013.ARI",7
"184",2013-10-27,2013,"ARI",1436.094,0,"2013.ARI",8
"185",2013-11-10,2013,"ARI",1466.66,0,"2013.ARI",9
"186",2013-11-17,2013,"ARI",1477.389,0,"2013.ARI",10
"187",2013-11-24,2013,"ARI",1492.018,0,"2013.ARI",11
"188",2013-12-01,2013,"ARI",1524.7,0,"2013.ARI",12
"189",2013-12-08,2013,"ARI",1512.814,0,"2013.ARI",13
"190",2013-12-15,2013,"ARI",1536.214,0,"2013.ARI",14
"191",2013-12-22,2013,"ARI",1548.501,0,"2013.ARI",15
"192",2013-12-29,2013,"ARI",1586.16,0,"2013.ARI",16
"193",2014-09-08,2014,"ARI",1551.021,0,"2014.ARI",1
"194",2014-09-14,2014,"ARI",1556.697,0,"2014.ARI",2
"195",2014-09-21,2014,"ARI",1579.632,0,"2014.ARI",3
"196",2014-10-05,2014,"ARI",1601.219,0,"2014.ARI",4
"197",2014-10-12,2014,"ARI",1579.299,0,"2014.ARI",5
"198",2014-10-19,2014,"ARI",1586.037,0,"2014.ARI",6
"199",2014-10-26,2014,"ARI",1596.012,0,"2014.ARI",7
"200",2014-11-02,2014,"ARI",1608.08,0,"2014.ARI",8
"201",2014-11-09,2014,"ARI",1636.468,0,"2014.ARI",9
"202",2014-11-16,2014,"ARI",1646.833,0,"2014.ARI",10
"203",2014-11-23,2014,"ARI",1658.846,0,"2014.ARI",11
"204",2014-11-30,2014,"ARI",1635.124,0,"2014.ARI",12
"205",2014-12-07,2014,"ARI",1598.193,0,"2014.ARI",13
"206",2014-12-11,2014,"ARI",1607.229,0,"2014.ARI",14
"207",2014-12-21,2014,"ARI",1625.206,0,"2014.ARI",15
"208",2014-12-28,2014,"ARI",1595.668,0,"2014.ARI",16
"209",2015-09-13,2015,"ARI",1540.563,0,"2015.ARI",1
"210",2015-09-20,2015,"ARI",1556.85981032402,0,"2015.ARI",2
"211",2015-09-27,2015,"ARI",1580.53845620223,0,"2015.ARI",3
"212",2015-10-04,2015,"ARI",1603.69750646614,0,"2015.ARI",4
"213",2015-10-11,2015,"ARI",1584.57970122473,0,"2015.ARI",5
"214",2015-10-18,2015,"ARI",1612.3334849927,0,"2015.ARI",6
"215",2015-10-26,2015,"ARI",1590.18918140929,0,"2015.ARI",7
"216",2015-11-01,2015,"ARI",1602.16507066242,0,"2015.ARI",8
"217",2015-11-15,2015,"ARI",1616.99022211356,0,"2015.ARI",9
"218",2015-11-22,2015,"ARI",1644.1707720552,0,"2015.ARI",10
"219",2015-11-29,2015,"ARI",1655.01504008487,0,"2015.ARI",11
"220",2015-12-06,2015,"ARI",1665.65559761357,0,"2015.ARI",12
"221",2015-12-10,2015,"ARI",1681.26906970316,0,"2015.ARI",13
